symbol,name,sector
MDLZ,"Mondelez International, Inc. Class A",Consumer Staples
MEDP,"Medpace Holdings, Inc.",Health Care
MELI,"MercadoLibre, Inc.",Consumer Discretionary
META,Meta Platforms Inc Class A,Communication Services
MKSI,"MKS Instruments, Inc.",Information Technology
MNST,Monster Beverage Corporation,Consumer Staples
MPWR,"Monolithic Power Systems, Inc.",Information Technology
MRNA,"Moderna, Inc.",Health Care
MRVL,"Marvell Technology, Inc.",Information Technology
MSFT,Microsoft Corporation,Information Technology
MSTR,Strategy Inc,Information Technology
MTSI,"MACOM Technology Solutions Holdings, Inc.",Information Technology
MU,"Micron Technology, Inc.",Information Technology
NBIS,Nebius Group N.V. Class A Ordinary Shares,Communication Services
NBIX,"Neurocrine Biosciences, Inc.",Health Care
NDAQ,"Nasdaq, Inc.",Financials
NDSN,Nordson Corporation,Industrials
NFLX,"Netflix, Inc.",Communication Services
NLOK,NortonLifeLock Inc.,Information Technology
NTAP,"NetApp, Inc.",Information Technology
NTES,Netease Inc,Communication Services
NTNX,"Nutanix, Inc. Class A",Information Technology
NTRA,"Natera, Inc.",Health Care
NTRS,Northern Trust Corporation,Financials
NVDA,NVIDIA Corporation,Information Technology
NVMI,Nova Measuring Instruments Ltd.,Information Technology
NWS,News Corporation,Communication Services
NWSA,News Corporation,Communication Services
NXPI,NXP Semiconductors NV,Information Technology
NXT,Nextpower Inc.,Information Technology
ODFL,"Old Dominion Freight Line, Inc.",Industrials
OKTA,"Okta, Inc. Class A",Information Technology
ON,ON Semiconductor Corporation,Information Technology
ONC,BeOne Medicines AG,Health Care
ORLY,"O'Reilly Automotive, Inc.",Consumer Discretionary
PAA,"Plains All American Pipeline, L.P.",Energy
PAAS,PAN AMERICAN SILVER CORP,Materials
PAYP,PayPay Corporation American Depository Shares,Real Estate
PAYX,"Paychex, Inc.",Industrials
PCAR,PACCAR Inc,Industrials
PDD,PDD Holdings Inc.,Consumer Discretionary
PEP,"PepsiCo, Inc.",Consumer Staples
PFG,"Principal Financial Group, Inc.",Financials
PNFP,"Pinnacle Financial Partners, Inc.",Financials
PODD,Insulet Corporation,Health Care
PPC,Pilgrim's Pride Corporation,Consumer Staples
PPD,"PPD, Inc.",Health Care
PRAH,"PRA Health Sciences, Inc.",Health Care
PSKY,Paramount Skydance Corporation Class B Common Stock,Communication Services
PTC,PTC Inc.,Information Technology
PYPL,"PayPal Holdings, Inc.",Financials
QCOM,QUALCOMM Incorporated,Information Technology
QXO,QXO Inc. Common Stock,Information Technology
REG,Regency Centers Corporation,Real Estate
REGN,"Regeneron Pharmaceuticals, Inc.",Health Care
RGC,Regencell Bioscience Holdings Limited Ordinary Shares,Health Care
RGLD,"Royal Gold, Inc.",Materials
RIVN,Rivian Automotive Inc. Class A Common Stock,Consumer Discretionary
RKLB,Rocket Lab USA Inc. Common Stock,Industrials
RMBS,Rambus Inc.,Information Technology
ROIV,Roivant Sciences Ltd. Common Shares,Health Care
ROKU,"Roku, Inc. Class A",Communication Services
ROST,"Ross Stores, Inc.",Consumer Discretionary
RPRX,Royalty Pharma Plc Class A,Health Care
RVMD,"Revolution Medicines, Inc.",Health Care
RYAAY,Ryanair Holdings plc,Industrials
SAIA,"Saia, Inc.",Industrials
SATS,EchoStar Corporation,Information Technology
SBAC,SBA Communications Corporation,Real Estate
SBNYP,Signature Bank,Financials
SBUX,Starbucks Corporation,Consumer Discretionary
SITM,SiTime Corporation,Information Technology
SKHY,SK hynix Inc. American Depositary Shares,Information Technology
SLMBP,SLM Corporation,Financials
SMCI,"Super Micro Computer, Inc.",Information Technology
SMMT,Summit Therapeutics Inc.,Health Care
SNDK,Sandisk Corporation Common Stock,Information Technology
SNPS,"Synopsys, Inc.",Information Technology
SNY,Sanofi,Health Care
SOFI,"SoFi Technologies, Inc.",Financials
SOFIW,"SoFi Technologies, Inc.",Financials
SPCX,Space Exploration Technologies Corp. Class A Common Stock,Industrials
SSNC,"SS&C Technologies Holdings, Inc.",Industrials
STLD,"Steel Dynamics, Inc.",Materials
STRD,Strategy Inc,Information Technology
STRK,Strategy Inc,Information Technology
STRL,"Sterling Construction Company, Inc.",Industrials
STX,Seagate Technology Holdings PLC,Information Technology
SWAV,"SHOCKWAVE MEDICAL, INC.",Health Care
SYM,Symbotic Inc. Class A Common Stock,Financials
TCOM,Trip.com Group Limited,Consumer Discretionary
TEAM,Atlassian Corporation Plc,Information Technology
TER,"Teradyne, Inc.",Information Technology
TIGO,Millicom International Cellular S.A.,Communication Services
TLN,Talen Energy Corporation Common Stock,Utilities
TMUS,"T-Mobile US, Inc.",Communication Services
TPG,TPG Inc. Class A Common Stock,Financials
TRMB,Trimble Inc.,Information Technology
TROW,"T. Rowe Price Group, Inc.",Financials
TSCO,Tractor Supply Company,Consumer Discretionary
TSEM,Tower Semiconductor Ltd,Information Technology
TSLA,"Tesla, Inc.",Consumer Discretionary
TTMI,"TTM Technologies, Inc.",Information Technology
TTWO,"Take-Two Interactive Software, Inc.",Financials
TW,"Tradeweb Markets, Inc. Class A",Financials
TXN,Texas Instruments Incorporated,Information Technology
TXRH,"Texas Roadhouse, Inc.",Consumer Discretionary
UAL,"United Airlines Holdings, Inc.",Industrials
ULTA,Ulta Beauty Inc.,Consumer Discretionary
UTHR,United Therapeutics Corporation,Health Care
VLYPO,Valley National Bancorp,Financials
VLYPP,Valley National Bancorp,Financials
VNOM,Viper Energy Partners LP,Energy
VRSK,"Verisk Analytics, Inc.",Industrials
VRSN,"VeriSign, Inc.",Information Technology
VRTX,Vertex Pharmaceuticals Incorporated,Health Care
VTRS,"Viatris, Inc.",Health Care
WBD,Warner Bros. Discovery Inc. Series A Common Stock,Communication Services
WDAY,"Workday, Inc. Class A",Information Technology
WDC,Western Digital Corporation,Information Technology
WLTW,Willis Towers Watson Public Limited Company,Financials
WMG,Warner Music Group Corp. Class A,Communication Services
WSE,Wise Group plc Class A Ordinary Shares,Real Estate
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,Financials
WWD,"Woodward, Inc.",Industrials
WYNN,"Wynn Resorts, Limited",Consumer Discretionary
XEL,Xcel Energy Inc.,Utilities
XLNX,"Xilinx, Inc.",Information Technology
XP,XP Inc. Class A,Financials
Z,"Zillow Group, Inc.",Communication Services
ZBRA,Zebra Technologies Corporation Class A,Information Technology
ZG,"Zillow Group, Inc.",Communication Services
ZM,"Zoom Video Communications, Inc.",Communication Services
ZNGA,Zynga Inc.,Communication Services
ZS,"Zscaler, Inc.",Information Technology
